strain	species	genus	genomospecies	host	host_type	opine_type	year_isolated	plasmid_class	plasmid_type	ncbi_accession	mlsa_node_id	beast_node_id
Agrobacterium rubi Eu3-2NK	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymous	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165485	Eu3-2NK__Aru	Eu3-2NK
Rhizobium rhizogenes AF44/96	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blackberry	Woody	Nopaline	1996	Ti	Type Ia	SAMN14165486	AF44_96__BV2	AF44_96
Rhizobium rhizogenes T155/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	Cucumopine	NA	Ri	(Ri) Type III	SAMN14165487	T155_95__BV2	T155_95
Agrobacterium rubi Eu2-1RS	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymous	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165488	Eu2-1RS__Aru	Eu2-1RS
Agrobacterium rubi Eu2-1NK	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymous	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165489	Eu2-1NK__Aru	Eu2-1NK
Rhizobium rhizogenes CM80/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	Nopaline	1995	Ti	Type Ia	SAMN14165490	CM80_95__BV2	CM80_95
Agrobacterium rubi Eu3-2RS	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymous	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165491	Eu3-2RS__Aru	Eu3-2RS
Rhizobium rhizogenes CA84/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Raspberry	Woody	Agrocinopine/Octopine-like/Nopaline	1995	Ti	Type IVc	SAMN14165492	CA84_95__BV2	CA84_95
Rhizobium rhizogenes S32/96	Rhizobium rhizogenes	Rhizobium	Biovar 2	Almond	Woody	Nopaline	NA	Ti	Type Ia	SAMN14165493	S32_96__BV2	S32_96
Agrobacterium tumefaciens 16-280-1a	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lobelia	Herbaceous	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165494	16-280-1a__BV1	16-280-1a
Rhizobium rhizogenes C16/80	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apple	Woody	Succinamopine-like	1980	Ri	(Ri) Type II	SAMN14165495	C16_80__BV2	C16_80
Agrobacterium tumefaciens 16-280-1b	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lobelia	Herbaceous	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165496	16-280-1b__BV1	16-280-1b
Rhizobium rhizogenes ATCC 15834	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Succinamopine-like	NA	Ri	(Ri) Type III	SAMN14165497	ATCC_15834__BV2	ATCC_15834
Agrobacterium tumefaciens B6806	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	NA	NA	Octopine/Agropine	NA	Ti	Type II	SAMN14165498	B6806__BV1	B6806
Agrobacterium tumefaciens 1D1108	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Euonymus	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165499	1D1108__BV1	1D1108
Agrobacterium tumefaciens 1D1460	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Raspberry	Woody	Nopaline	NA	Ti	Type Ia	SAMN14165500	1D1460__BV1	1D1460
Agrobacterium tumefaciens 1D1609	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Alfalfa	Herbaceous	Octopine/Agropine	NA	Ti	Type II	SAMN14165501	1D1609__BV1	1D1609
Agrobacterium tumefaciens 1D132	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Cherry	Woody	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165502	1D132__BV1	1D132
Agrobacterium tumefaciens ATCC 15955	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Tomato	Herbaceous	Octopine/Agropine	NA	Ti	Type II	SAMN14165503	ATCC_15955__BV1	ATCC_15955
Allorhizobium vitis CG412	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Octopine	NA	Ti	Type IVb	SAMN14165504	CG412__BV3	CG412
Allorhizobium vitis CG678	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	NA	Ti	Type V	SAMN14165505	CG678__BV3	CG678
Allorhizobium vitis CG78	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	NA	Ti	Type V	SAMN14165506	CG78__BV3	CG78
Allorhizobium vitis F2/5	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	NA	NA	NA	None	SAMN14165507	F2_5__BV3	F2_5
Agrobacterium tumefaciens 12D1	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	NA	NA	NA	NA	NA	None	SAMN14165508	12D1__BV1	12D1
Agrobacterium tumefaciens 12D13	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	NA	NA	NA	NA	NA	None	SAMN14165509	12D13__BV1	12D13
Agrobacterium tumefaciens A6	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Raspberry	Woody	Octopine/Agropine	NA	Ti	Type II	SAMN14165510	A6__BV1	A6
Agrobacterium tumefaciens GC1A3	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lobelia	Herbaceous	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165511	GC1A3__BV1	GC1A3
Rhizobium rhizogenes K27	Rhizobium rhizogenes	Rhizobium	Biovar 2	Poplar	Woody	Nopaline	NA	Ti	Type Ia	SAMN14165512	K27__BV2	K27
Agrobacterium rubi A19/93	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymus	Woody	Agrocinopine/Other	1993	Ti	Type Ib	SAMN14165513	A19_93__Aru	A19_93
Rhizobium rhizogenes J5a/93	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blackberry	Woody	Nopaline	1993	Ti	Type Ib	SAMN14165514	J5a_93__BV2	J5a_93
Agrobacterium tumefaciens P22/94	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Aspen	Woody	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165515	P22_94__BV1	P22_94
Agrobacterium tumefaciens W10/94	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Walnut	Woody	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165516	W10_94__BV1	W10_94
Agrobacterium tumefaciens Q15/94	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Clematis	Herbaceous	Agrocinopine/Octopine-like/Nopaline	1994	Ti	Type VI	SAMN14165627	Q15_94__BV1	Q15_94
Agrobacterium tumefaciens N33/94	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Raspberry	Woody	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165517	N33_94__BV1	N33_94
Rhizobium rhizogenes Z4/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apricot	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165518	Z4_95__BV2	Z4_95
Rhizobium rhizogenes AQ11/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Hawthorn	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165519	AQ11_95__BV2	AQ11_95
Rhizobium rhizogenes AP82/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Plum	Woody	Agrocinopine/Agropine	1995	Ti	Type Ib	SAMN14165520	AP82_95__BV2	AP82_95
Rhizobium rhizogenes CA75/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Raspberry	Woody	Agrocinopine/Octopine-like/Nopaline	1995	Ti	Type IVc	SAMN14165628	CA75_95__BV2	CA75_95
Rhizobium rhizogenes Y79/96	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rhododendron	Herbaceous	NA	1996	NA	None	SAMN14165521	Y79_96__BV2	Y79_96
Rhizobium rhizogenes T5/73	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Succinamopine-like	1973	Ri	(Ri) Type III	SAMN14165522	T5_73__BV2	T5_73
Agrobacterium tumefaciens H25/79	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Rose	Woody	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165523	H25_79__BV1	H25_79
Rhizobium rhizogenes P23/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Aspen	Woody	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165524	P23_94__BV2	P23_94
Agrobacterium tumefaciens O16/94	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Blueberry	Woody	NA	1994	NA	None	SAMN14165525	O16_94__BV1	O16_94
Rhizobium rhizogenes B147/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Walnut	Woody	Agrocinopine/Agropine	1994	Ti	Type Ib	SAMN14165526	B147_94__BV2	B147_94
Agrobacterium tumefaciens T90/95	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Grape	Woody	NA	1995	NA	None	SAMN14165527	T90_95__BV1	T90_95
Rhizobium rhizogenes AS10/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165528	AS10_95__BV2	AS10_95
Rhizobium skierniewicense Di1472	Rhizobium skierniewicense	Rhizobium	Rhizobium skierniewicense	Shasta Daisy	Herbaceous	Succinamopine/Chrysopine	NA	Ti	Type III	SAMN14165529	Di1472__Ask	Di1472
Agrobacterium tumefaciens Di1525a	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Peony	Herbaceous	Octopine/Agropine	NA	Ti	Type II	SAMN14165530	Di1525a__BV1	Di1525a
Agrobacterium tumefaciens O54/95	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Cherry	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165531	O54_95__BV1	O54_95
Rhizobium rhizogenes X1/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165532	X1_95__BV2	X1_95
Rhizobium rhizogenes K95/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Pear	Woody	Nopaline	1995	Ti	Type Ia	SAMN14165533	K95_95__BV2	K95_95
Rhizobium rhizogenes A1/90	Rhizobium rhizogenes	Rhizobium	Biovar 2	Chestnut	Woody	Nopaline	1990	Ti	Type Ia	SAMN14165534	A1_90__BV2	A1_90
Rhizobium rhizogenes B1/74	Rhizobium rhizogenes	Rhizobium	Biovar 2	Nanking Cherry	Woody	Nopaline	1974	Ti	Type Ia	SAMN14165535	B1_74__BV2	B1_74
Rhizobium rhizogenes B4/73	Rhizobium rhizogenes	Rhizobium	Biovar 2	Maple	Woody	Nopaline	1973	Ti	Type Ia	SAMN14165536	B4_73__BV2	B4_73
Agrobacterium tumefaciens CG920	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Clematis	Woody	Octopine/Agropine	NA	Ti	Type II	SAMN14165537	CG920__BV1	CG920
Agrobacterium tumefaciens G3/79	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Willow	Woody	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165538	G3_79__BV1	G3_79
Agrobacterium tumefaciens G9/79	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Poplar	Woody	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165539	G9_79__BV1	G9_79
Rhizobium rhizogenes I2/75	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	NA	1975	NA	None	SAMN14165540	I2_75__BV2	I2_75
Rhizobium rhizogenes K6/73	Rhizobium rhizogenes	Rhizobium	Biovar 2	Willow	Woody	Nopaline	1973	Ti	Type Ia	SAMN14165541	K6_73__BV2	K6_73
Agrobacterium tumefaciens K196/80	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Chrysanthemum	Herbaceous	Succinamopine/Chrysopine	1980	Ti	Type III	SAMN14165542	K196_80__BV1	K196_80
Rhizobium rhizogenes M2/73	Rhizobium rhizogenes	Rhizobium	Biovar 2	Birch	Woody	Nopaline	1973	Ti	Type Ia	SAMN14165543	M2_73__BV2	M2_73
Rhizobium rhizogenes P1/75	Rhizobium rhizogenes	Rhizobium	Biovar 2	Dahlia	Herbaceous	Octopine/Agropine	1975	Ti	Type II	SAMN14165545	P1_75__BV2	P1_75
Agrobacterium tumefaciens Y2/73	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Dahlia	Herbaceous	Succinamopine/Agropine	1973	Ti	Type III	SAMN14165546	Y2_73__BV1	Y2_73
Rhizobium rhizogenes B49C/83	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apple	Woody	Agrocinopine/Agropine	1983	Ti	Type Ib	SAMN14165547	B49C_83__BV2	B49C_83
Rhizobium rhizogenes D10b/87	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apple	Woody	Nopaline	1987	Ti	Type Ia	SAMN14165548	D10b_87__BV2	D10b_87
Rhizobium rhizogenes AR13K/71	Rhizobium rhizogenes	Rhizobium	Biovar 2	Crabapple	Woody	Succinamopine-like	1971	Ri	(Ri) Type II	SAMN14165549	AR13K_71__BV2	AR13K_71
Agrobacterium tumefaciens 06-478 st	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Shasta Daisy	Herbaceous	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165551	06-478_st__BV1	06-478_st
Agrobacterium tumefaciens YO0101	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Aster	Herbaceous	Octopine/Agropine	2002	Ti	Type II	SAMN14165552	YO0101__BV1	YO0101
Agrobacterium tumefaciens 06-777-2L	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Marguerite Daisy	Herbaceous	NA	2006	NA	None	SAMN14165553	06-777-2L__BV1	06-777-2L
Agrobacterium tumefaciens 06-617-1	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Marguerite Daisy	Herbaceous	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165554	06-617-1__BV1	06-617-1
Agrobacterium tumefaciens A51	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Yarrow	Herbaceous	Nopaline/Chrysopine	2002	Ti	Type III	SAMN14165555	A51__BV1	A51
Agrobacterium tumefaciens A74a	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lavender	Herbaceous	NA	2003	NA	None	SAMN14165556	A74a__BV1	A74a
Agrobacterium tumefaciens 14-818c	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Russian Sage	Herbaceous	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165557	14-818c__BV1	14-818c
Allorhizobium vitis S4	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	NA	NA	Type V	CP000637.1	S4__BV3	S4
